t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.023	0.011	59.64762222180883	0.4613486774755395	0.7856247422680411	0.9968	0.9942	0.95	0.9844	0.9612	0.6336	0.5866	0.6794
0.023	0.013000000000000001	59.663239807674685	0.49118913765366634	0.7978505154639175	0.999	0.9956	0.9602	0.9826	0.9664	0.6696	0.5954	0.6956
0.023	0.015	59.90675670320133	0.5300028637682589	0.813840206185567	0.9914	0.9938	0.9624	0.9884	0.974	0.694	0.6364	0.7002
0.023	0.017	59.73741858071805	0.5614926820019621	0.8180927835051547	0.9966	0.9936	0.956	0.9844	0.9646	0.7106	0.6448	0.7088
0.023	0.019000000000000003	60.038255510843186	0.63185093355423	0.8321690721649485	0.9964	0.991	0.9466	0.9844	0.9756	0.7458	0.679	0.703
0.023	0.021	59.93831565495532	0.6355994776260459	0.8334381443298969	0.9964	0.9898	0.9448	0.9792	0.9728	0.7554	0.6796	0.7074
0.023	0.023	59.62325307448077	0.672201120929306	0.8279762886597939	0.995	0.9942	0.9562	0.98	0.9724	0.7506	0.662	0.6898
0.023	0.025	59.65412796213226	0.7109239568691147	0.833758762886598	0.9958	0.9848	0.929	0.9818	0.9696	0.7698	0.676	0.7144
0.025	0.001	59.454018120746305	0.3327828058810149	0.7106855670103092	1.0	0.9938	0.9428	0.963	0.8866	0.5516	0.417	0.6044
0.025	0.003	59.536707206105426	0.35264575120677244	0.724981443298969	0.9998	0.9936	0.9294	0.966	0.9102	0.5572	0.4648	0.6076
0.025	0.005	59.972656886961914	0.3709950472547561	0.7422680412371134	0.9996	0.9964	0.9464	0.9674	0.9288	0.587	0.4816	0.6408
0.025	0.007	59.716239609875146	0.38341677152093284	0.7454412371134019	0.9996	0.996	0.9548	0.97	0.923	0.566	0.5116	0.6344
0.025	0.009000000000000001	59.66143521495681	0.41944369440937773	0.7596134020618556	0.9988	0.9962	0.9358	0.9782	0.9398	0.607	0.5272	0.6546
0.025	0.011	59.697673093569875	0.4498000583441755	0.7833938144329895	0.9976	0.995	0.931	0.98	0.9604	0.6244	0.5894	0.6902
0.025	0.013000000000000001	59.916287557154384	0.4811256925859353	0.8024360824742267	0.9982	0.9952	0.9542	0.9842	0.961	0.6778	0.6164	0.687
0.025	0.015	59.80094438144978	0.5104421238049824	0.8077742268041236	0.9978	0.9938	0.9622	0.9824	0.969	0.6936	0.6266	0.6744
0.025	0.017	59.67361026662621	0.541557406914402	0.8131061855670101	0.9952	0.9942	0.956	0.986	0.9668	0.7052	0.6392	0.681
0.025	0.019000000000000003	59.63870559606019	0.6006638948195937	0.8187371134020617	0.997	0.993	0.9468	0.9832	0.9662	0.7226	0.6496	0.6922
0.025	0.021	59.743389449992605	0.6059519729823976	0.8251051546391752	0.9872	0.994	0.9374	0.9846	0.9692	0.7456	0.66	0.6968
0.025	0.023	59.91108486897235	0.642792962728513	0.821241237113402	0.9934	0.9902	0.9466	0.9806	0.9662	0.7332	0.6572	0.6872
0.025	0.025	59.960315184129236	0.679149822799815	0.8247041237113402	0.9934	0.9922	0.9528	0.9816	0.959	0.7474	0.6536	0.701
